Principe actif;Classe;Galénique;Galéniques alternatives;Préparation;Goût;Administration du médicament modifié;Informations;Sources;Autres sources;Réponses des laboratoires;Date
ISRADIPINE LP 2,5 et 5 mg (Icaz LP);Dérivés de la dihydropyridine;Gélule LP;Non;Ne pas ouvrir;;;A prendre le matin.;RCP;;DB Pharma 21-02-2022 : pas d'informations complémentaires au RCP ;18/04/2023
ITRACONAZOLE 100 mg (Sporanox);Dérivés triazolés;Gélule;Non;Ne pas ouvrir;;;A prendre en fin de repas. Eviter le jus de pamplemousse.;RCP;;;18/04/2023
IVABRADINE 5 et 7,5 mg (Procoralan);Autres médicaments pour le cœur;Comprimé;Non;Écrasement possible;;Prise possible avec de l’eau<br>;A prendre pendant les repas. Eviter le jus de pamplemousse.;Réponse laboratoire;;Arrow 15-03-2022 : l'ensemble des sources bibliographiques rapportent un écrasement possible.;18/04/2023
IVERMECTINE 3 mg (Stromectol);Avermectines;Comprimé;Non;Écrasement possible;;Prise possible avec de l’eau<br>;A prendre à jeun (? 2h avant ou après les repas).;RCP;;;18/04/2023
JOSAMYCINE 500 mg (Josacine);Macrolides;Comprimé;Comprimés dispersibles, granulés pour suspension buvable;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Astellas Pharma 14-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
KETOPROFENE 25, 100 et 150 mg (Ketum, Toprec, Profenid, Profemigr, etc.);Dérivés de l'acide propionique;Comprimé ou comprimé sécable;Suppositoires, suspension buvable ;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence pendant les repas ou une collation pour améliorer la tolérance digestive.;RCP;;;18/04/2023
KETOPROFENE 50 mg (Profenid);Dérivés de l'acide propionique;Gélule;Suppositoires;Ne pas ouvrir;Goût désagréable;;A prendre de préférence pendant les repas ou une collation pour améliorer la tolérance digestive.;RCP;;;18/04/2023
KETOPROFENE LP 100 et 200 mg (Bi profenid);Dérivés de l'acide propionique;Comprimé LP;"? Non LP ?
Suppositoires";Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence pendant les repas ou une collation pour améliorer la tolérance digestive.;RCP;;;18/04/2023
KETOPROFENE LP 200 mg (Profenid LP);Dérivés de l'acide propionique;Gélule LP;"? Non LP ?
Suppositoires";Ne pas ouvrir;Goût désagréable;;A prendre de préférence pendant les repas ou une collation pour améliorer la tolérance digestive.;RCP;;;18/04/2023
KETOTIFENE 1 mg (Zaditen);Autres antihistaminiques à usage systémique;Gélule;Solution buvable;Ne pas ouvrir;;;A prendre de préférence le soir pendant les repas.;Réponse laboratoire;;Alfasigma 08-04-2022 : ouverture déconseillée car pas d'étude.;18/04/2023
KETOTIFENE LP 2 mg (Zaditen LP);Autres antihistaminiques à usage systémique;Comprimé LP;"? Non LP ?
Solution buvable";Ne pas écraser ni croquer;;;A prendre de préférence le soir pendant les repas.;RCP;;;18/04/2023
LABETALOL 200 mg (Trandate);Alpha et bêta-bloquants;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre de préférence en fin de repas.;RCP;Ecrasable selon HUG 03/2023;ASPEN Pharma 04-03-2022 : écrasement déconseillé car pas d'étude interne. ;18/04/2023
"LACOSAMIDE 50, 100, 150 et 200 mg
(Vimpat)";Autres antiépileptiques;Comprimé;Sirop;Ne pas écraser ni croquer;;;A prendre avec ou sans nourriture.;Réponse laboratoire;Ecrasable selon HUG 03/2023;UCB 24-04-2024 : écrasement déconseillé car pas d'étude ;23/04/2024
LAMIVUDINE / ZIDOVUDINE 150/300 mg (Combivir);Antiviraux pour le traitement des infections au VIH en association;Comprimé sécable;Solutions buvables;Écrasement possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;Peut être écrasé et mélangé à une petite quantité de nourriture semi-solide ou de liquide. Administration immédiate. A prendre de préférence à jeun.;RCP;Ecrasable selon HUG 03/2023;;18/04/2023
LAMIVUDINE 100, 150 et 300 mg (Epivir);Inhibiteurs de la transcriptase inverse nucléosidique et nucléotidique;Comprimé;Solution buvable;Écrasement possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;Peut être écrasé et mélangé à une petite quantité de nourriture semi-solide ou de liquide. Administration immédiate.;RCP;;;18/04/2023
LANSOPRAZOLE 15 et 30 mg (Ogast);Inhibiteurs de la pompe à protons;Gélule GR;Comprimés orodispersibles;Ouverture possible, ne pas écraser ni croquer;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;Peut être ouvert et vidé dans un peu d'eau, de jus de pomme ou de tomate, ou saupoudrés dans un peu de nourriture semi-liquide (yaourt, compote). Administration immédiate. A prendre de préférence 30 min avant un repas.;RCP;;Takeda 04-08-2020 : cf. RCP;18/04/2023
LEDIPASVIR / SOFOSBUVIR 90/400 mg (Harvoni);Antiviraux pour le traitement des infections au VHC;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;Ne pas écraser car goût très amer.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Gilead 02-03-2022 : écrasement et fractionnement déconseillés car pas d'étude et goût très amer si broyé.;18/04/2023
LEFLUNOMIDE 10, 20 et 100 mg (Arava);Immunosuppresseurs sélectifs;Comprimé;Non;Ne pas écraser ni croquer;;;PA cytotoxique.;RCP;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
"LENALIDOMIDE 2,5 ; 5 ; 7,5 ; 10 ; 15 ; 20 ; 25 mg (Revlimid)";Autres immunosuppresseurs;Gélule;Non;Ne pas ouvrir;;;PA cytotoxique et tératogène. A prendre à heure fixe.;RCP;;Bristol Myers Squibb 28-02-2022 : cf. RCP;18/04/2023
LERCANIDIPINE 10 et 20 mg (Lercan, Zanidip);Dérivés de la dihydropyridine;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre de préférence le matin à jeun (? 15 min avant les repas). Eviter le jus de pamplemousse.;Réponse laboratoire;Zanidip : Ecrasable selon HUG 03/2023;Bouchara-Recordati 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
LETROZOLE 2,5 mg (Femara);Inhibiteurs de l'aromatase;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre de préférence à heure fixe.;RCP;;Novartis 10-08-2020 : cf. RCP. Très peu hydrosoluble.;18/04/2023
LEVETIRACETAM 250, 500 et 1000 mg (Keppra);Autres antiépileptiques;Comprimé ou comprimé sécable;Solution buvable, granulés;Ne pas écraser ni croquer;Goût désagréable;;A prendre à heure fixe avec une quantité suffisante de liquide et peuvent être pris au cours ou en dehors des repas.;RCP;Ecrasable selon HUG 03/2023;UCB 07-12-2022 : les comprimés de Keppra® ne sont pas sécables. Pour information, Keppra® existe en solution buvable (100mg/ml et dans le cas ou la voie orale est indisponible, la solution à diluer pour perfusion Keppra est une alternative. ;18/04/2023
LEVOCETIRIZINE 5 mg (Xyzall);Dérivés de la pipérazine;Comprimé;Non;Ne pas écraser ni croquer;;;;RCP;;UCB Pharma 24-02-2022 : écrasement déconseillé car pas d'étude. ;18/04/2023
"LEVODOPA / BENSERAZIDE 50/12,5 ; 100/25 et 200/50 mg (Modopar)";Dopa et dérivés;Gélule;Comprimés dispersibles;Ne pas ouvrir;;;A prendre ? 30 min avant les repas ou ? 2h après.;RCP;Ouvrable selon HUG 03/2023;;18/04/2023
LEVODOPA / BENSERAZIDE LP 100/25 mg (Modopar LP);Dopa et dérivés;Gélule LP;"? Non LP ?
Comprimés dispersibles";Ne pas ouvrir;;;A prendre ? 30 min avant les repas ou ? 2h après.;RCP;;;09/11/2023
LEVODOPA / CARBIDOPA / ENTACAPONE tous dosages (Stalevo);Dopa et dérivés;Comprimé;Non;Ne pas écraser ni croquer;;;Notice patient : ne pas écraser;Notice patient;Ecrasable selon HUG 03/2023;;18/04/2023
LEVODOPA / CARBIDOPA 100/10 et 250/25 mg (Sinemet);Dopa et dérivés;Comprimé ;Gel intestinal (pour stades avancés);Ne pas écraser ni croquer;;;A prendre en fin de repas, ou avec un peu de nourriture.;RCP;Ecrasable selon HUG 03/2023;;18/04/2023
LEVODOPA / CARBIDOPA LP 100/25 et 200/50 mg (Sinemet LP);Dopa et dérivés;Comprimé LP;"? Non LP ?
Gel intestinal (pour stades avancés)";Ne pas écraser ni croquer;;;A prendre en début de repas, ou avec un peu de nourriture.;RCP;;;18/04/2023
LEVOFLOXACINE 500 mg (Tavanic);Fluoroquinolones;Comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre à distance (? 2h) des sels de fer, d'antiacides et de sucralfate qui peuvent diminuer l'absorption.;RCP;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
LEVOMEPROMAZINE 25 et 100 mg (Nozinan);Phénothiazines à chaîne latérale aliphatique;Comprimé sécable;Solution buvable en gouttes;Ne pas écraser ni croquer;;;A prendre le soir ou à répartir en 3 prises au moment des repas.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
LEVOTHYROXINE 25, 50, 75, 100, 125, 150, 175 et 200 µg (L-Thyroxin);Hormones thyroïdiennes;Comprimé sécable;Solution buvable en gouttes;Délitement possible;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;Peut être dissout sans l'écraser dans 10-15 mL d'eau jusqu'à obtenir une suspension, à administrer immédiatement avec un peu d'eau supplémentaire. A prendre le matin à jeun ? 30 min avant les repas. ;RCP;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
LEVOTHYROXINE 25, 50, 75, 88, 100, 112, 125, 137, 150, 175 et 200 µg (Levothyrox) ;Hormones thyroïdiennes;Comprimé sécable;Solution buvable en gouttes;Écrasement possible;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>; A prendre le matin à jeun.;Réponse laboratoire;;Merck 07-05-2025 : écrasement possible, à dissoudre dans 5 à 10mL d'eau, pas d'étude de stabilité, à boire immédiatement;12/05/2025
LINEZOLIDE 600 mg (Zyvoxid);Autres antibactériens;Comprimé;Granulés pour suspension buvable;Ne pas écraser ni croquer;Goût désagréable;;;Notice patient;Ecrasable selon HUG 03/2023;En attente (Pfizer);18/04/2023
LIOTHYRONINE 0,025 mg (Cynomel);Hormones thyroïdiennes;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre le matin à jeun.;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
LISINOPRIL / HYDROCHLOROTHIAZIDE 20/12,5 mg (Zestoretic);Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques;Comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence à heure fixe.;Notice patient;Ecrasable selon HUG 03/2023;;18/04/2023
LISINOPRIL 5 et 20 mg (Zestril);Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre à heure fixe.;Notice patient;Ecrasable selon HUG 03/2023;;18/04/2023
LITHIUM 250 mg (Teralithe);Lithium;Comprimé sécable;Non;Ne pas écraser ni croquer;;Prise possible avec de l’eau<br>;A prendre pendant les repas.;Notice patient;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
LITHIUM LP 400 mg (Teralithe LP);Lithium;Comprimé sécable LP;"? Non LP ?
Lithium 250 mg écrasable";Ne pas écraser ni croquer;;;A prendre le soir vers 20h pendant les repas.;RCP;;;18/04/2023
LOPERAMIDE 2 mg (Diaretyl);Antipropulsivants;Gélule;Comprimés orodispersibles, solution buvable;Ne pas ouvrir;;;;Réponse laboratoire;;Janssen 09-03-2022 : écrasement déconseillé car pas d'étude;19/09/2023
LOPINAVIR / RITONAVIR 100/25 et 200/50 mg (Kaletra);Antiviraux pour le traitement des infections au VIH en association;Comprimé;Solution buvable;Ne pas écraser ni croquer;Goût désagréable;;Eviter le jus de pamplemousse.;RCP;;;18/04/2023
LOPRAZOLAM 1 mg (Havlane);Dérivés des benzodiazépines;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre avant le coucher.;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
LORATADINE 10 mg (Clarityne);Autres antihistaminiques à usage systémique;Comprimé;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Bayer 19-08-2020 : écrasement déconseillé car pas d'étude.;18/04/2023
LORAZEPAM 1 et 2,5 mg (Temesta);Dérivés des benzodiazépines;Comprimé sécable;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Neuraxpharm 22-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
LORMETAZEPAM 1 et 2 mg (Noctamide);Dérivés des benzodiazépines;Comprimé sécable;Non;Écrasement possible;;Prise possible avec de l’eau<br>;A prendre avant le coucher.;Réponse laboratoire;;Arrow 15-03-2022 : écrasement déconseillé, mais les études rapportent un écrasement possible.;18/04/2023
"LOSARTAN / HYDROCHLOROTHIAZIDE 50/12,5 ; 100/12,5 et 100/25 mg (Hyzaar, Fortzaar)";Antagonistes de l'angiotensine II et diurétiques;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre à heure fixe.;RCP;;Organon 30-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
LOSARTAN 50 et 100 mg (Cozaar);Antagonistes de l'angiotensine II non associés;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;A prendre à heure fixe.;RCP;Ecrasable selon HUG 03/2023;;18/04/2023
LOXAPINE 25, 50 et 100 mg (Loxapac);Diazépines, oxazépines, thiazépines et oxépines;Comprimé;Solution buvable;Ne pas écraser ni croquer;;;A prendre en une seule prise le soir ou à répartir au cours de la journée.;RCP;;Laboratoires Eisai 11-03-2022 : ne pas écraser les comprimés;18/04/2023
MAGNESIUM / PYRIDOXINE 48/5 mg (Magne B6);Magnésium;Comprimé;Solution buvable (Spasmag);Ne pas écraser ni croquer;;;;Thériaque 03/2023;;;18/04/2023
MAGNESIUM 100 mg (Mag 2);Magnésium;Comprimé;Solution buvable, poudre pour solution buvable;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Cooper 22-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
MANIDIPINE 10 et 20 mg (Iperten);Dérivés de la dihydropyridine;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre le matin après le petit-déjeuner. Eviter le jus de pamplemousse.;RCP;;;18/04/2023
MAPROTILINE 25 et 75 mg (Ludiomil);Inhibiteurs non-sélectifs de la recapture des monoamines;Comprimé ou comprimé sécable;Non;?;;;;;;En attente (Centre de Specialites Pharmaceutiques);18/04/2023
MARAVIROC 25, 75, 150 et 300 mg (Celsentri);Autres antiviraux;Comprimé;Solution buvable;Ne pas écraser ni croquer;;;Eviter le jus de pamplemousse.;Réponse laboratoire;Ecrasable selon HUG 03/2023;GSK 20-03-2023 : écrasement déconseillé car pas d'étude;18/04/2023
MEBEVERINE 100 et 200 mg (Duspatalin);Anticholinergiques synthétiques, esters d'amines tertiaires;Gélule;Non;Ouverture possible, ne pas écraser ni croquer;;;A prendre avant les repas. La gélule assure une libération prolongée.;Réponse laboratoire;Ouvrable selon HUG 03/2023;Viatris 17-02-2023 : L'ouverture des gélules est possible. Ne pas écraser les microgranules. ;18/04/2023
MEBEVERINE 200 mg (génériques);Anticholinergiques synthétiques, esters d'amines tertiaires;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre avant les repas.;Réponse laboratoire;;Zentiva 17-02-2022 : écrasement déconseillé car pas d'étude;18/04/2023
MEFLOQUINE 250 mg (Lariam);Alcaloïdes de la quinine;Comprimé sécable;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>;Peut être écrasé et dissout dans l'eau pour administration immédiate. Goût amer. Eviter le jus de pamplemousse.;RCP;;Cheplapharm 14-03-2022 : cf. RCP;18/04/2023
MEGESTROL 160 mg (Megace);Progestatifs;Comprimé;Non;?;;;PA cytotoxique.;;;En attente (contacter Bausch Health Ireland Limited);18/04/2023
MELATONINE 1mg gélule (préparation hospitalière);Psycholeptiques;Gélule;Solution buvable (préparation);Ouverture possible;;;La mélatonine n'est pas hydrosoluble ;Réponse laboratoire;;"Centre Lab 12-12-2023 : Les gélules peuvent être ouvertes pour récupérer la poudre. La mélatonine n’est pas hydrosoluble : mettre le contenu en suspension dans une compote ou yaourt brassé. 
";14/12/2023
MELOXICAM 7,5 et 15 mg (Mobic);Oxicams;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre pendant le repas.;Réponse laboratoire;;Boehringer Ingelheim 24-02-2022 : Les comprimés se délitent facilement en bouche;18/04/2023
MELPHALAN 2 mg (Alkeran);Analogues des moutardes azotées ;Comprimé;Non;Ne pas écraser ni croquer;;;PA cytotoxique. A prendre de préférence 15-30 min avant les repas pour une absorption optimale.;Réponse laboratoire;;ASPEN Pharma 22-02-2022 : non-écrasable car cytotoxique. Molécule instable en solution, à ne pas administrer avec de la nourriture.;18/04/2023
MEMANTINE 10 et 20 mg (Ebixa);Autres médicaments contre la démence;Comprimé ou comprimé sécable;Solution buvable;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;A prendre à heure fixe.;Réponse laboratoire;;Lundbeck 14-03-2022 : Pas d'étude de stabilité mais écrasement et dissolution possible dans l'eau si administration immédiate. Goût amer.;18/04/2023
MEQUITAZINE 5 et 10 mg (Primalan);Dérivés de la phénothiazine;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre de préférence le soir (effet sédatif).;Réponse laboratoire;;Pierre Fabre 21-02-2022 : risque d'oxydation si écrasement.;18/04/2023
MERCAPTOPURINE 50 mg (Purinethol);Analogues de la purine;Comprimé sécable;Suspension buvable;Ne pas écraser ni croquer;;;PA cytotoxique. A prendre ? 1h avant ou ? 3h après l'ingestion d'aliments ou de lait.;Notice patient;;;18/04/2023
MESALAZINE 250, 400, 500, 800, 1000 et 1600 mg (Rowasa, Fivasa);Acide aminosalicylique et  dérivés;Comprimé GR;Granulés, suppositoires (selon indication);Ne pas écraser ni croquer;;;A prendre pendant les repas en cas de problèmes gastriques. Les suppositoires ou formes rectales n'ont pas forcément les mêmes indications que les formes orales.;Thériaque 03/2023;;En attente (Tillotts);19/09/2023
MESNA 400 et 600 mg (Uromitexan);Médicaments détoxifiants dans un traitement cytostatique;Comprimé sécable;Non;?;;;;;;En attente (Baxter);18/04/2023
METFORMINE 500, 700, 850 et 1000 mg (Glucophage, Stagid);Biguanides;Comprimé ou comprimé sécable;Comprimés dispersibles;Ne pas écraser ni croquer;Goût désagréable;;;Notice patient;Ecrasable selon HUG 03/2023;;18/04/2023
METHADONE 1, 5, 20 et 40 mg (Zoryon, Méthadone AP-HP);Médicaments en cas de dépendance aux opiacés;Gélule;Sirop;Ne pas ouvrir;;;;Thériaque 03/2023;;;30/06/2023
METHOTREXATE 2,5 mg (Novatrex);Analogues de l'acide folique;Comprimé;Non;Ne pas écraser ni croquer;;;PA cytotoxique.;Réponse laboratoire;;Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
METHYLDOPA 250 et 500 mg (Aldomet);Méthyldopa;Comprimé;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;;Réponse laboratoire;;HAC Pharma 22-02-2022 : écrasement possible si besoin, avec administration immédiate et protection appropriée de l'opérateur;18/04/2023
METHYLPHENIDATE 10 mg (Ritaline);Sympathomimétiques d'action centrale;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre de préférence ? 4h avant le coucher pour éviter les troubles d'endormissement.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Novartis 16-03-2022 : cf. RCP;18/04/2023
METHYLPHENIDATE LP 10, 20, 30 et 40 mg (Ritaline LP);Sympathomimétiques d'action centrale;Gélule LP;Non;Ouverture possible, ne pas écraser ni croquer;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;A prendre le matin. Peut être dispersé dans de la nourriture semi-solide froide (compote, yaourt) et avalé, suivi par la prise d'une boisson. Administration immédiate.;RCP;;;19/09/2023
METHYLPHENIDATE LP 18, 36 et 54 mg (Concerta LP);Sympathomimétiques d'action centrale;Comprimé LP;Gélules LP ouvrables;Ne pas écraser ni croquer;;;A prendre le matin.;RCP;;;18/04/2023
METHYLPREDNISOLONE 4, 16 et 100 mg (Medrol);Glucocorticoïdes;Comprimé;? Adaptation posologique ? Prednisolone orodispersible;Ne pas écraser ni croquer;;;A prendre pendant les repas.;Réponse laboratoire;;Pfizer 04-08-2020 : écrasement déconseillé car pas d'étude.;18/04/2023
METOCLOPRAMIDE 10 mg (Primperan);Propulsifs;Comprimé sécable;Poudre pour solution buvable, suppositoires sécables;Ne pas écraser ni croquer;;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
METOCLOPRAMIDE LP 15 mg (Prokinyl LP);Propulsifs;Gélule LP;"? Non LP ?
Poudre pour solution buvable, suppositoires sécables";Ne pas ouvrir;;;;Réponse laboratoire;;Laboratoires Techni-pharma 08-03-2022 : gélule non ouvrable;18/04/2023
METOPIMAZINE 15 mg (Vogalene);Autres antiémétiques;Gélule;Lyophilisat oral, solution buvable, suppositoires;Ne pas ouvrir;;;A prendre de préférence 15 min avant les repas.;RCP;;;18/04/2023
METOPROLOL / FELODIPINE LP 47,5/5 mg (Logimax LP);Bêta-bloquants et inhibiteurs du canal de calcium;Comprimé LP;Non;Ne pas écraser ni croquer;;;A prendre le matin à jeun ou après un repas léger.;Galénique;;Bouchara-Recordati 23-03-2022 : cf. RCP;18/04/2023
METOPROLOL 50 et 100 mg (Seloken);Bêta-bloquants sélectifs;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre pendant ou en fin de repas.;RCP;;Bouchara-Recordati 23-03-2022 : écrasement déconseillé car pas d'étude;19/09/2023
METOPROLOL LP 200 mg (Seloken);Bêta-bloquants sélectifs;Comprimé sécable LP;Non;Ne pas écraser ni croquer;;;A prendre pendant ou en fin de repas, de façon constante.;Notice patient;;;19/09/2023
METRONIDAZOLE / SPIRAMYCINE 125 mg/0,75 MUI et 250 mg/1,5 MUI (Rodogyl, Birodogyl);Antibactériens en associations;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas.;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;19/09/2023
METRONIDAZOLE 250 et 500 mg (Flagyl);Dérivés nitro-imidazolés;Comprimé;Suspension buvable;Ne pas écraser ni croquer;;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
METYRAPONE 250 mg (Metopirone);Test pour la fonction hypophysaire;Capsule molle;Non;Ne pas écraser ni croquer;;;A prendre avec du lait ou après un repas pour minimiser les nausées et vomissements;Réponse laboratoire;;HRA Pharma 28-03-2023 : pas d'étude donc écrasement déconseillé.;18/04/2023
MIANSERINE 10, 30 et 60 mg (génériques);Autres antidépresseurs;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;;RCP;Ecrasable selon laboratoire;"Arrow 15-03-2022 : écrasement déconseillé car effet anesthésiant de la langue, mais possible en cas de besoin si administration immédiate (photosensible).
Biogaran 29-01-2025 : écrasement impossible car pas d'étude";18/04/2023
MIDODRINE 2,5 mg (Gutron);Adrénergiques et dopaminergiques;Comprimé;Solution buvable en gouttes (AAC);Ne pas écraser ni croquer;;;A prendre de préférence le matin et au plus tard 4h avant le coucher.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
MIFEPRISTONE 200 et 600 mg (Mifegyne);Antiprogestatifs;Comprimé;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;Ne pas prendre avec du jus de pamplemousse;Réponse laboratoire;;Nordic pharma 14-02-2022 : pas d'étude mais écrasement possible. Mauvais goût, très peu soluble dans l'eau, soluble en milieu acide. Peut être mélangé à un yaourt ou une compote.;18/04/2023
MILNACIPRAN 25 et 50 mg (Ixel);Autres antidépresseurs;Gélule;Non;Ne pas ouvrir;Goût désagréable;;A prendre de préférence pendant les repas.;Réponse laboratoire;;Arrow 15-03-2022 : ouverture déconseillée car pas d'étude + goût amer.;18/04/2023
MINOCYCLINE 100 mg (Mynocine);Tétracyclines;Gélule;Non;Ne pas ouvrir;;;A prendre pendant les repas.;Réponse laboratoire;;Laboratoire XO 14-02-2022 : écrasement déconseillé en l'absence de données;18/04/2023
MIRTAZAPINE 15 mg (Norset);Autres antidépresseurs;Comprimé ou comprimé sécable;Comprimés orodispersibles;Ne pas écraser ni croquer;;;A prendre de préférence le soir.;RCP;;;18/04/2023
MISOPROSTOL 25, 200 et 400 µg (Misoone);Prostaglandines;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;;Notice patient;;;19/09/2023
MITOTANE 500 mg (Lysodren);Autres antinéoplasiques;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre pendant des repas riches en graisses. PA cytotoxique : à manipuler avec des gants jetables.;RCP;;;18/04/2023
MOCLOBEMIDE 150 mg (Moclamine);Inhibiteurs de la monamine oxydase de type A (IMAO-A);Comprimé sécable;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;A prendre en fin de repas, en évitant les prises trop tardives.;Réponse laboratoire;;Biocodex 25-02-2022 : écrasable si besoin mais goût amer. Peut être mélangé à une boisson ou un aliment, mais éviter ceux trop acides par précaution.;18/04/2023
MODAFINIL 100 mg (Modiodal);Sympathomimétiques d'action centrale;Comprimé;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Teva 01-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
MOLSIDOMINE 2 et 4 mg (Corvasal);Autres vasodilatateurs utilisés dans les maladies cardiaques;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas;Notice patient;Ecrasable selon HUG 03/2023;Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
MONTELUKAST 10 mg (Singulair);Antagonistes des récepteurs des leucotriènes;Comprimé;Comprimés à croquer, granulés;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;A prendre le soir.;Réponse laboratoire;;MSD 19-09-2020 : Le pelliculage masque le goût amer. Thermosensible et instable dans l'eau. Administration immédiate si écrasement.;18/04/2023
MORPHINE SULFATE 10 et 20 mg (Sevredol);Alcaloïdes naturels de l'opium;Comprimé sécable;Solution buvable, gélules ouvrables;Ne pas écraser ni croquer;;;Risque d'effets indésirables graves avec les comprimés écrasés.;Notice patient;Ecrasable selon HUG 03/2023;Mundipharma 03-08-2020 : écrasement déconseillé car pas d'étude;18/04/2023
